epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1523.77,2.713,4.52644,3.09729,0.37327,0.0459,0.02671,0.0132,2.03293,3.2531,2.2829,0.00333288,0.00333288,0.00333288
2,2967.9,1.8358,3.32937,2.02944,0.23711,0.13749,0.09401,0.05321,1.70461,2.64266,1.8871,0.00653422,0.00653422,0.00653422
3,4421.66,1.68185,2.89394,1.836,0.28785,0.19277,0.15011,0.08989,1.57444,2.34289,1.73242,0.00960357,0.00960357,0.00960357
4,5993.51,1.60112,2.63374,1.73231,0.34848,0.23321,0.19507,0.12035,1.49334,2.14579,1.63646,0.009406,0.009406,0.009406
5,7428.29,1.53318,2.44874,1.65799,0.38177,0.25038,0.22813,0.14431,1.45006,2.03073,1.58487,0.009208,0.009208,0.009208
6,8858.08,1.49573,2.3341,1.61058,0.39543,0.26364,0.24888,0.15882,1.42256,1.9615,1.55208,0.00901,0.00901,0.00901
7,10291.8,1.46974,2.2583,1.58403,0.39736,0.27683,0.26155,0.16841,1.40425,1.91936,1.53136,0.008812,0.008812,0.008812
8,11733.1,1.45077,2.1984,1.55901,0.42794,0.28291,0.27092,0.17525,1.39223,1.89038,1.51699,0.008614,0.008614,0.008614
9,13147.4,1.433,2.15061,1.5406,0.44043,0.28674,0.27877,0.1811,1.38179,1.86676,1.50499,0.008416,0.008416,0.008416
10,14566.3,1.4211,2.11102,1.52539,0.44035,0.29412,0.28622,0.18619,1.37245,1.84641,1.49376,0.008218,0.008218,0.008218
11,16027.6,1.40969,2.0821,1.51216,0.44775,0.2982,0.29375,0.1916,1.36412,1.82646,1.48295,0.00802,0.00802,0.00802
12,17470.8,1.40065,2.04987,1.50041,0.44308,0.30221,0.30028,0.19631,1.35614,1.80729,1.47257,0.007822,0.007822,0.007822
13,18899.4,1.39222,2.02836,1.49008,0.45115,0.30853,0.30707,0.2013,1.34779,1.78873,1.46214,0.007624,0.007624,0.007624
14,20352.3,1.38563,2.00284,1.47947,0.46149,0.31223,0.31356,0.20585,1.33996,1.76952,1.45167,0.007426,0.007426,0.007426
15,21767,1.37707,1.9817,1.47064,0.46706,0.31825,0.32049,0.21113,1.33203,1.74955,1.44165,0.007228,0.007228,0.007228
16,23260.6,1.37159,1.96184,1.46239,0.47334,0.32125,0.32647,0.21552,1.32434,1.7317,1.43215,0.00703,0.00703,0.00703
17,24747.4,1.36557,1.94483,1.45375,0.47988,0.32592,0.33264,0.22026,1.31724,1.71331,1.42295,0.006832,0.006832,0.006832
18,26232.3,1.35941,1.93374,1.44917,0.48888,0.32937,0.33875,0.22505,1.30966,1.69622,1.41394,0.006634,0.006634,0.006634
19,27760.5,1.35573,1.91787,1.44315,0.49573,0.3325,0.34406,0.2293,1.30318,1.67978,1.4056,0.006436,0.006436,0.006436
20,29177.6,1.35029,1.90213,1.4363,0.49851,0.33895,0.34989,0.23369,1.29786,1.66459,1.39795,0.006238,0.006238,0.006238
21,30617.6,1.34429,1.88904,1.43133,0.50646,0.33978,0.35501,0.23771,1.29205,1.65044,1.39031,0.00604,0.00604,0.00604
22,32050.7,1.34044,1.879,1.42759,0.51223,0.34329,0.35948,0.24136,1.28704,1.63605,1.3834,0.005842,0.005842,0.005842
23,33550.2,1.33503,1.8652,1.42088,0.50473,0.34828,0.36397,0.24479,1.28244,1.6227,1.37676,0.005644,0.005644,0.005644
24,35052.3,1.33076,1.85076,1.41465,0.52149,0.34975,0.36858,0.24822,1.27785,1.61074,1.37034,0.005446,0.005446,0.005446
25,36548.2,1.32585,1.83912,1.40957,0.52141,0.35096,0.37247,0.25162,1.27324,1.59861,1.36416,0.005248,0.005248,0.005248
26,38054.5,1.3225,1.83039,1.40636,0.52101,0.35458,0.377,0.25445,1.26858,1.58671,1.35853,0.00505,0.00505,0.00505
27,39517.6,1.31892,1.82034,1.40016,0.52444,0.35833,0.38102,0.25713,1.26462,1.57581,1.35314,0.004852,0.004852,0.004852
28,40936.9,1.31425,1.80821,1.39546,0.52341,0.36192,0.38435,0.25981,1.26056,1.56561,1.34783,0.004654,0.004654,0.004654
29,42371.4,1.31012,1.79485,1.38938,0.52322,0.36524,0.38772,0.2625,1.2565,1.55554,1.3429,0.004456,0.004456,0.004456
30,43819.4,1.30725,1.7861,1.38554,0.52315,0.36798,0.39053,0.26486,1.2527,1.5475,1.33814,0.004258,0.004258,0.004258
